,Trial,Score,Algorithm,Parameters
118,118,-6.667616802855942,xgb,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'xgb'), ('n_estimators', 218), ('learning_rate', 0.0012998394824280223), ('max_depth', 6), ('subsample', 0.5730586373436786), ('colsample_bytree', 0.9841607126022083), ('min_child_weight', 16)]"
119,119,0.9476389742110017,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.001212174301177491)]"
120,120,0.9415341256705085,en,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('algorithm', 'en'), ('alpha', 0.0007487298051802326), ('l1_ratio', 0.11420623752521494)]"
121,121,0.950808934477098,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0003308043881502148)]"
122,122,0.9508109381266777,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00031421179192918017)]"
123,123,0.9506350209194107,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0004497906921121422)]"
124,124,0.9507592759086023,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0003759605859487303)]"
125,125,0.9507231067442191,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0004002718825589771)]"
126,126,0.9508005623067662,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0003435976036276809)]"
127,127,0.9507619281108848,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00037411701037047557)]"
128,128,0.9503195151331509,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0005821111977101805)]"
129,129,0.9508027249403119,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0003406048371035326)]"
130,130,0.9508001110185553,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00034410810749093735)]"
131,131,0.9508039749262792,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00033873273689850853)]"
132,132,0.9507193735937189,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0004025645332130208)]"
133,133,0.9506991769942713,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00041529523202161474)]"
