,Trial,Score,Parameters
100,100,0.9452689412870997,"[('scaling_method', 'robust'), ('n_estimators', 933), ('learning_rate', 0.05645289707515412), ('max_depth', 4), ('subsample', 0.9993955240667927), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
101,101,0.9511857399187782,"[('scaling_method', 'minmax'), ('n_estimators', 900), ('learning_rate', 0.03539442055689388), ('max_depth', 3), ('subsample', 0.6986236836101622), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
102,102,0.950432335290406,"[('scaling_method', 'minmax'), ('n_estimators', 891), ('learning_rate', 0.03590145292145834), ('max_depth', 3), ('subsample', 0.7181564381005366), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
103,103,0.9493064590934024,"[('scaling_method', 'minmax'), ('n_estimators', 894), ('learning_rate', 0.033963737383036895), ('max_depth', 3), ('subsample', 0.7171837268042968), ('min_sample_split', 8), ('min_sample_leaf', 4)]"
104,104,0.43234261529324103,"[('scaling_method', 'minmax'), ('n_estimators', 866), ('learning_rate', 0.0006171518718191068), ('max_depth', 3), ('subsample', 0.76121489664128), ('min_sample_split', 8), ('min_sample_leaf', 2)]"
105,105,0.9481219811152698,"[('scaling_method', 'minmax'), ('n_estimators', 922), ('learning_rate', 0.019737534067039018), ('max_depth', 3), ('subsample', 0.7286939095203531), ('min_sample_split', 8), ('min_sample_leaf', 2)]"
106,106,0.9501929092508987,"[('scaling_method', 'minmax'), ('n_estimators', 876), ('learning_rate', 0.02611657681267115), ('max_depth', 3), ('subsample', 0.6574021069253092), ('min_sample_split', 9), ('min_sample_leaf', 3)]"
107,107,0.9495425875036635,"[('scaling_method', 'minmax'), ('n_estimators', 891), ('learning_rate', 0.06531800070517486), ('max_depth', 3), ('subsample', 0.7071970600567147), ('min_sample_split', 8), ('min_sample_leaf', 2)]"
108,108,0.9470205259718236,"[('scaling_method', 'minmax'), ('n_estimators', 849), ('learning_rate', 0.11025733409735741), ('max_depth', 3), ('subsample', 0.7432984571865944), ('min_sample_split', 8), ('min_sample_leaf', 4)]"
109,109,0.948161934347585,"[('scaling_method', 'minmax'), ('n_estimators', 904), ('learning_rate', 0.09308558960685684), ('max_depth', 2), ('subsample', 0.6754779110865655), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
110,110,0.9489358293363745,"[('scaling_method', 'minmax'), ('n_estimators', 804), ('learning_rate', 0.03475539657092351), ('max_depth', 3), ('subsample', 0.7207789574321972), ('min_sample_split', 8), ('min_sample_leaf', 2)]"
111,111,0.9485230575206145,"[('scaling_method', 'minmax'), ('n_estimators', 956), ('learning_rate', 0.05136987729948103), ('max_depth', 3), ('subsample', 0.7014935165822591), ('min_sample_split', 9), ('min_sample_leaf', 3)]"
112,112,0.9495525106704571,"[('scaling_method', 'minmax'), ('n_estimators', 990), ('learning_rate', 0.07542425646069746), ('max_depth', 3), ('subsample', 0.6894868634849644), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
113,113,0.9502277237698319,"[('scaling_method', 'minmax'), ('n_estimators', 924), ('learning_rate', 0.04330553802022094), ('max_depth', 3), ('subsample', 0.7315473787921115), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
114,114,0.950475167425317,"[('scaling_method', 'minmax'), ('n_estimators', 930), ('learning_rate', 0.040242958263281066), ('max_depth', 3), ('subsample', 0.7355670326404671), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
115,115,0.9470855638938371,"[('scaling_method', 'standard'), ('n_estimators', 943), ('learning_rate', 0.028693367980742315), ('max_depth', 3), ('subsample', 0.7566716056171074), ('min_sample_split', 8), ('min_sample_leaf', 2)]"
116,116,0.9500074505760654,"[('scaling_method', 'robust'), ('n_estimators', 913), ('learning_rate', 0.02278590443310095), ('max_depth', 3), ('subsample', 0.7150142097472982), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
117,117,0.9439438707034536,"[('scaling_method', 'minmax'), ('n_estimators', 929), ('learning_rate', 0.012463539356594595), ('max_depth', 3), ('subsample', 0.7774619653105616), ('min_sample_split', 8), ('min_sample_leaf', 4)]"
118,118,0.9490057789763234,"[('scaling_method', 'standard'), ('n_estimators', 966), ('learning_rate', 0.05955839718433935), ('max_depth', 3), ('subsample', 0.7378622260674131), ('min_sample_split', 9), ('min_sample_leaf', 2)]"
119,119,0.9506264557330887,"[('scaling_method', 'minmax'), ('n_estimators', 889), ('learning_rate', 0.040135589367807256), ('max_depth', 4), ('subsample', 0.6395054591049789), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
120,120,0.9456537937108181,"[('scaling_method', 'standard'), ('n_estimators', 833), ('learning_rate', 0.03950149629509505), ('max_depth', 4), ('subsample', 0.6405733536435753), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
121,121,0.9466922919528804,"[('scaling_method', 'minmax'), ('n_estimators', 864), ('learning_rate', 0.03709483611239251), ('max_depth', 5), ('subsample', 0.6138369364884442), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
122,122,0.9504651100473165,"[('scaling_method', 'minmax'), ('n_estimators', 884), ('learning_rate', 0.0714421924010825), ('max_depth', 3), ('subsample', 0.6880038101279584), ('min_sample_split', 8), ('min_sample_leaf', 4)]"
